,Time,Polonia,Chequia,Suiza,Francia,Italia,Bélgica,Dinamarca,Suecia,Irlanda,Países Bajos,Reino Unido,Alemania
47,  2018 Marzo,"2.982,166","2.495,205","1.861,100","30.354,488","48.949,231","6.355,135","6.883,729","15.704,290","3.700,701","36.670,341","9.267,734","37.218,099"
48,  2018 Febrero,"3.229,962","1.940,607","1.822,661","19.357,251","15.004,579","6.641,512","9.270,779","22.367,495","3.373,155","18.881,206","9.975,140","31.440,186"
49,  2018 Enero,"4.296,931","5.104,880","3.689,568","7.738,732","12.280,156","6.781,051","7.575,190","18.298,770","4.963,180","18.395,116","19.383,468","33.277,989"
50,  2017,"33.145,452","48.361,359","28.116,526","285.214,618","341.900,173","178.489,968","63.678,612","164.076,353","56.903,901","210.946,031","176.038,393","503.396,552"
51,  2017 Diciembre,"2.944,623","4.845,778","2.824,659","39.130,384","16.826,156","27.955,971","15.467,943","7.572,953","4.367,021","14.596,614","12.715,247","42.489,938"
52,  2017 Noviembre,"4.582,662","2.247,700","2.532,718","20.287,378","18.310,333","25.025,760","4.141,471","15.800,781","4.919,824","26.269,964","14.980,331","52.463,520"
53,  2017 Octubre,"3.618,076","5.128,077","3.498,270","50.450,150","14.506,286","14.293,654","12.572,190","12.136,022","4.053,888","17.639,314","14.297,995","38.990,168"
54,  2017 Septiembre,"2.383,715","3.484,729","1.985,715","10.513,801","13.241,663","7.724,783","2.658,009","16.378,896","6.253,085","15.381,617","23.711,218","38.776,220"
55,  2017 Agosto,"2.012,037","2.315,483","1.107,910","7.954,201","15.709,094","10.602,966","1.830,528","11.850,965","4.230,436","13.597,325","20.115,973","34.974,042"
56,  2017 Julio,"2.455,266","6.100,545","3.770,258","12.492,314","49.940,857","18.572,245","2.056,316","3.196,179","6.175,160","15.846,964","17.161,874","42.883,987"
57,  2017 Junio,"2.020,200","4.195,754","1.787,107","24.016,712","35.997,342","7.516,932","8.604,888","15.660,820","6.090,346","15.432,214","17.207,993","41.756,753"
58,  2017 Mayo,"2.992,959","2.909,936","1.692,748","31.287,653","43.611,138","18.603,713","7.926,814","2.027,336","4.694,282","14.388,754","7.996,381","43.948,964"
59,  2017 Abril,"1.964,563","6.262,269","2.037,831","16.782,433","31.317,574","11.331,330","1.598,985","12.105,996","3.901,236","13.840,447","7.902,531","47.070,858"
60,  2017 Marzo,"3.078,181","5.259,924","2.684,729","31.912,953","56.308,488","9.625,221","2.064,525","13.121,993","4.125,570","17.619,294","20.704,037","47.789,780"
61,  2017 Febrero,"2.646,539","3.234,743","2.482,400","9.088,836","19.620,010","8.691,369","2.886,022","5.871,386","3.476,324","22.780,333","9.511,069","46.934,074"
62,  2017 Enero,"2.446,629","2.376,422","1.712,181","31.297,802","26.511,232","18.546,023","1.870,923","48.353,026","4.616,729","23.553,192","9.733,745","25.318,247"
63,  2016,"33.628,135","60.770,538","27.376,463","194.291,058","193.786,988","131.835,974","62.859,527","122.756,358","55.163,687","223.340,187","127.461,259","451.579,531"
64,  2016 Diciembre,"2.768,028","12.313,612","2.557,521","13.894,338","23.898,920","10.553,929","7.417,822","14.084,886","4.833,994","21.083,322","13.845,950","65.758,119"
65,  2016 Noviembre,"1.780,850","3.131,436","2.804,880","12.601,988","14.203,032","8.290,159","2.885,605","7.702,671","3.340,728","15.003,021","14.076,133","39.157,226"
66,  2016 Octubre,"2.835,306","2.792,475","2.443,370","11.426,678","20.592,290","18.949,152","4.294,014","13.308,581","6.265,603","29.873,648","13.181,185","44.597,021"
