,Time,Imports,Country,Tourist,Year
144,2007-12-08,12569727,GBR,30471,2007
145,2007-11-08,1880870,GBR,47819,2007
146,2007-10-08,3662757,GBR,320559,2007
147,2007-09-08,3877898,GBR,546862,2007
148,2007-08-08,2931505,GBR,630815,2007
149,2007-07-08,7772012,GBR,609507,2007
150,2007-06-08,5974200,GBR,581663,2007
151,2007-05-08,32928627,GBR,468645,2007
152,2007-04-08,16236540,GBR,150274,2007
153,2007-03-08,9039669,GBR,72898,2007
154,2007-02-08,3432031,GBR,37813,2007
155,2007-01-08,5918828,GBR,28329,2007
156,2006-12-08,7415804,GBR,35506,2006
157,2006-11-08,2909755,GBR,45862,2006
158,2006-10-08,17940643,GBR,305514,2006
159,2006-09-08,46376096,GBR,534349,2006
160,2006-08-08,6113311,GBR,577119,2006
161,2006-07-08,5815354,GBR,611807,2006
162,2006-06-08,8258666,GBR,554802,2006
163,2006-05-08,6069328,GBR,479595,2006
164,2006-04-08,3440917,GBR,165769,2006
165,2006-03-08,6979272,GBR,69191,2006
166,2006-02-08,3366187,GBR,38140,2006
167,2006-01-08,2062475,GBR,29740,2006
168,2005-12-08,7312991,GBR,30360,2005
169,2005-11-08,3821806,GBR,44522,2005
170,2005-10-08,4428969,GBR,320657,2005
171,2005-09-08,11088810,GBR,522684,2005
172,2005-08-08,5316027,GBR,564946,2005
173,2005-07-08,8075213,GBR,592971,2005
174,2005-06-08,4707284,GBR,519714,2005
175,2005-05-08,5357266,GBR,454937,2005
176,2005-04-08,105470567,GBR,145653,2005
177,2005-03-08,5836980,GBR,87277,2005
178,2005-02-08,3970374,GBR,44718,2005
179,2005-01-08,1398043,GBR,37894,2005
0,2019-12-08,8411416,NLD,2933,2019
1,2019-11-08,6348438,NLD,5557,2019
2,2019-10-08,9167227,NLD,48883,2019
3,2019-09-08,9123331,NLD,76201,2019
4,2019-08-08,9138580,NLD,108556,2019
5,2019-07-08,11159077,NLD,125737,2019
6,2019-06-08,7097235,NLD,106984,2019
7,2019-05-08,7162171,NLD,96049,2019
8,2019-04-08,10593221,NLD,71879,2019
9,2019-03-08,8589709,NLD,11632,2019
10,2019-02-08,7943091,NLD,5111,2019
11,2019-01-08,15722245,NLD,3878,2019
12,2018-12-08,4991310,NLD,4200,2018
13,2018-11-08,15958198,NLD,5501,2018
14,2018-10-08,7094447,NLD,68916,2018
15,2018-09-08,9180708,NLD,100377,2018
16,2018-08-08,6616340,NLD,129068,2018
17,2018-07-08,8307503,NLD,104090,2018
18,2018-06-08,12603241,NLD,106222,2018
19,2018-05-08,15471223,NLD,109664,2018
20,2018-04-08,9764441,NLD,39043,2018
21,2018-03-08,10572184,NLD,9137,2018
22,2018-02-08,15403922,NLD,8461,2018
23,2018-01-08,6844626,NLD,4965,2018
24,2017-12-08,6163825,NLD,2170,2017
25,2017-11-08,16423277,NLD,3731,2017
26,2017-10-08,14081636,NLD,55105,2017
27,2017-09-08,19329129,NLD,79359,2017
28,2017-08-08,11070028,NLD,120797,2017
29,2017-07-08,11180281,NLD,108158,2017
30,2017-06-08,14231293,NLD,71430,2017
31,2017-05-08,17094139,NLD,105875,2017
32,2017-04-08,12105943,NLD,35235,2017
33,2017-03-08,12908110,NLD,11516,2017
34,2017-02-08,8540118,NLD,2401,2017
35,2017-01-08,15373340,NLD,6024,2017
36,2016-12-08,7823632,NLD,6925,2016
37,2016-11-08,10336883,NLD,10299,2016
38,2016-10-08,6202329,NLD,56073,2016
39,2016-09-08,7886894,NLD,71685,2016
40,2016-08-08,8880643,NLD,130345,2016
41,2016-07-08,9832686,NLD,125292,2016
42,2016-06-08,12272497,NLD,63920,2016
43,2016-05-08,8001352,NLD,109959,2016
44,2016-04-08,9084568,NLD,39467,2016
45,2016-03-08,8702060,NLD,8567,2016
46,2016-02-08,8167990,NLD,4174,2016
47,2016-01-08,7145859,NLD,1797,2016
48,2015-12-08,5827914,NLD,2155,2015
49,2015-11-08,17602284,NLD,1620,2015
50,2015-10-08,10818558,NLD,33977,2015
51,2015-09-08,9466236,NLD,58157,2015
52,2015-08-08,11787053,NLD,72163,2015
53,2015-07-08,9947782,NLD,85111,2015
54,2015-06-08,11079748,NLD,52462,2015
55,2015-05-08,9473275,NLD,57233,2015
56,2015-04-08,6691215,NLD,18692,2015
57,2015-03-08,9204118,NLD,4689,2015
